route_id,service_id,trip_id
S0030,weekday,weekday_S0030_S003002_2
S0030,weekday,weekday_S0030_S003002_3
S0030,weekday,weekday_S0030_S003002_4
S0030,weekday,weekday_S0030_S003002_5
S0030,weekday,weekday_S0030_S003002_6
S0030,weekday,weekday_S0030_S003002_7
S0030,weekday,weekday_S0030_S003002_8
S1060,weekend,weekend_S1060_S106002_0
S1060,weekend,weekend_S1060_S106002_1
S1060,weekend,weekend_S1060_S106002_2
S1060,weekday,weekday_S1060_S106002_0
S1060,weekday,weekday_S1060_S106002_1
S1060,weekday,weekday_S1060_S106002_2
S1070,weekday,weekday_S1070_S107002_0
S1070,weekday,weekday_S1070_S107002_1
S1070,weekday,weekday_S1070_S107002_2
S1070,weekday,weekday_S1070_S107002_3
S1070,weekday,weekday_S1070_S107002_4
S1170,weekend,weekend_S1170_S117002_0
S1170,weekend,weekend_S1170_S117002_1
S1170,weekend,weekend_S1170_S117002_2
S1170,weekend,weekend_S1170_S117002_3
S1170,weekend,weekend_S1170_S117002_4
S1170,weekday,weekday_S1170_S117002_0
S1170,weekday,weekday_S1170_S117002_1
S1170,weekday,weekday_S1170_S117002_2
S1170,weekday,weekday_S1170_S117002_3
S1170,weekday,weekday_S1170_S117002_4
S0120,weekday,weekday_S0120_S012002_0
S0120,weekday,weekday_S0120_S012002_1
S0120,weekday,weekday_S0120_S012002_2
S6060,weekend,weekend_S6060_S606002_0
S6060,weekend,weekend_S6060_S606002_1
S6060,weekend,weekend_S6060_S606002_2
S6060,weekend,weekend_S6060_S606002_3
S6060,weekend,weekend_S6060_S606002_4
S6060,weekend,weekend_S6060_S606002_5
S6060,weekend,weekend_S6060_S606002_6
U6410,weekend,weekend_U6410_U641002_0
U6410,weekend,weekend_U6410_U641002_1
S2020,weekday,weekday_S2020_S202002_0
S2020,weekday,weekday_S2020_S202002_1
S2020,weekday,weekday_S2020_S202002_2
S2020,weekday,weekday_S2020_S202002_3
S2020,weekday,weekday_S2020_S202002_4
S2020,weekend,weekend_S2020_S202002_0
S2020,weekend,weekend_S2020_S202002_1
S2020,weekend,weekend_S2020_S202002_2
S2020,weekend,weekend_S2020_S202002_3
S2020,weekend,weekend_S2020_S202002_4
T7860,weekday,weekday_T7860_T786002_0
T7860,weekday,weekday_T7860_T786002_1
T7860,weekday,weekday_T7860_T786002_2
T7860,weekday,weekday_T7860_T786002_3
T7860,weekday,weekday_T7860_T786002_4
T7860,weekend,weekend_T7860_T786002_0
T7860,weekend,weekend_T7860_T786002_1
T7860,weekend,weekend_T7860_T786002_2
T7860,weekend,weekend_T7860_T786002_3
T7860,weekend,weekend_T7860_T786002_4
U1510,weekend,weekend_U1510_U151002_0
U1510,weekend,weekend_U1510_U151001_0
U1510,weekend,weekend_U1510_U151002_1
U1510,weekend,weekend_U1510_U151001_1
U1510,weekend,weekend_U1510_U151002_2
U1510,weekend,weekend_U1510_U151001_2
U1510,weekend,weekend_U1510_U151002_3
U1510,weekend,weekend_U1510_U151001_3
U1510,weekend,weekend_U1510_U151002_4
U1510,weekend,weekend_U1510_U151001_4
U1510,weekend,weekend_U1510_U151002_5
U1510,weekend,weekend_U1510_U151001_5
U1510,weekend,weekend_U1510_U151002_6
U1510,weekend,weekend_U1510_U151001_6
U1510,weekend,weekend_U1510_U151002_7
U1510,weekend,weekend_U1510_U151001_7
U1510,weekend,weekend_U1510_U151002_8
U1510,weekend,weekend_U1510_U151001_8
S2060,weekday,weekday_S2060_S206002_0
S2060,weekday,weekday_S2060_S206001_0
S2060,weekday,weekday_S2060_S206002_1
S2060,weekday,weekday_S2060_S206001_1
S2060,weekday,weekday_S2060_S206002_2
S2060,weekday,weekday_S2060_S206001_2
S2060,weekday,weekday_S2060_S206002_3
S2060,weekday,weekday_S2060_S206001_3
S2060,weekday,weekday_S2060_S206002_4
S2060,weekday,weekday_S2060_S206001_4
S2060,weekday,weekday_S2060_S206002_5
S2060,weekday,weekday_S2060_S206001_5
S2060,weekday,weekday_S2060_S206002_6
S2060,weekday,weekday_S2060_S206001_7
S2060,weekend,weekend_S2060_S206002_0
S2060,weekend,weekend_S2060_S206001_0
S2060,weekend,weekend_S2060_S206002_1
S2060,weekend,weekend_S2060_S206001_1
S2060,weekend,weekend_S2060_S206002_2
S2060,weekend,weekend_S2060_S206001_2
S2060,weekend,weekend_S2060_S206002_3
S2060,weekend,weekend_S2060_S206001_3
S2060,weekend,weekend_S2060_S206002_4
S2060,weekend,weekend_S2060_S206001_4
S2060,weekend,weekend_S2060_S206002_5
S2060,weekend,weekend_S2060_S206001_5
S2060,weekend,weekend_S2060_S206002_6
S2060,weekend,weekend_S2060_S206001_7
U1710,weekend,weekend_U1710_U171002_0
U1710,weekend,weekend_U1710_U171001_0
U1710,weekend,weekend_U1710_U171002_1
U1710,weekend,weekend_U1710_U171001_1
U1710,weekend,weekend_U1710_U171002_2
U1710,weekend,weekend_U1710_U171001_2
U1710,weekend,weekend_U1710_U171002_3
U1710,weekend,weekend_U1710_U171001_3
U1710,weekend,weekend_U1710_U171002_4
U1710,weekend,weekend_U1710_U171001_4
U1710,weekend,weekend_U1710_U171002_5
U1710,weekend,weekend_U1710_U171001_5
U1710,weekend,weekend_U1710_U171002_6
U1710,weekend,weekend_U1710_U171001_6
U1710,weekend,weekend_U1710_U171002_7
U1710,weekend,weekend_U1710_U171001_7
U1710,weekend,weekend_U1710_U171002_8
U1710,weekend,weekend_U1710_U171001_8
U1710,weekend,weekend_U1710_U171002_9
U1710,weekend,weekend_U1710_U171001_9
U1710,weekend,weekend_U1710_U171002_10
U1710,weekend,weekend_U1710_U171001_10
U1710,weekend,weekend_U1710_U171002_11
U1710,weekend,weekend_U1710_U171001_11
S4020,weekday,weekday_S4020_S402002_0
S4020,weekday,weekday_S4020_S402002_1
S4020,weekday,weekday_S4020_S402002_2
S4020,weekday,weekday_S4020_S402002_3
S4020,weekend,weekend_S4020_S402002_0
S4020,weekend,weekend_S4020_S402002_1
S4020,weekend,weekend_S4020_S402002_2
P0010,weekend,weekend_P0010_P001002_0
P0010,weekend,weekend_P0010_P001001_0
P0010,weekend,weekend_P0010_P001002_1
P0010,weekend,weekend_P0010_P001001_1
P0010,weekend,weekend_P0010_P001002_2
P0010,weekend,weekend_P0010_P001001_2
P0010,weekend,weekend_P0010_P001002_3
P0010,weekend,weekend_P0010_P001001_3
P0010,weekend,weekend_P0010_P001002_4
P0010,weekend,weekend_P0010_P001001_4
T2500,weekend,weekend_T2500_T250002_0
T2500,weekend,weekend_T2500_T250002_1
T2500,weekend,weekend_T2500_T250002_2
T2500,weekend,weekend_T2500_T250002_3
T2500,weekend,weekend_T2500_T250002_4
T2500,weekend,weekend_T2500_T250002_5
T2500,weekend,weekend_T2500_T250002_6
T2500,weekend,weekend_T2500_T250002_7
T2500,weekend,weekend_T2500_T250002_8
T2500,weekend,weekend_T2500_T250002_9
T2500,weekend,weekend_T2500_T250002_10
S4080,weekend,weekend_S4080_S408002_0
S4080,weekend,weekend_S4080_S408002_1
S4080,weekend,weekend_S4080_S408002_2
S4080,weekend,weekend_S4080_S408002_3
S4080,weekend,weekend_S4080_S408002_4
S4080,weekend,weekend_S4080_S408002_5
S4080,weekend,weekend_S4080_S408002_6
S5010,weekday,weekday_S5010_S501002_0
S5010,weekday,weekday_S5010_S501002_1
S5010,weekday,weekday_S5010_S501002_2
S5010,weekday,weekday_S5010_S501002_3
S5010,weekday,weekday_S5010_S501002_4
S1190,weekend,weekend_S1190_S119002_0
S1190,weekend,weekend_S1190_S119002_1
S1190,weekend,weekend_S1190_S119002_2
S1190,weekend,weekend_S1190_S119002_3
S1190,weekend,weekend_S1190_S119002_4
S1190,weekend,weekend_S1190_S119002_5
S1190,weekend,weekend_S1190_S119002_6
S1190,weekend,weekend_S1190_S119002_7
S1190,weekend,weekend_S1190_S119002_8
S1190,weekend,weekend_S1190_S119002_9
S1190,weekend,weekend_S1190_S119002_10
S1190,weekend,weekend_S1190_S119002_11
S1190,weekend,weekend_S1190_S119002_12
S1190,weekend,weekend_S1190_S119002_13
S1190,weekend,weekend_S1190_S119002_14
S1390,weekday,weekday_S1390_S139002_0
S1390,weekday,weekday_S1390_S139001_0
S1390,weekday,weekday_S1390_S139002_1
